,US,Europe,Japan
2024-02-09,100.0,100.0,100.0
2024-02-16,99.5814276420888,101.39430315780788,104.30875654720575
2024-02-23,101.23721553890196,102.56172266567664,105.9658913821075
2024-03-01,102.19770382026854,102.62978776065839,108.16696668764376
2024-03-08,101.93132150694007,103.80133242579876,107.56562382952524
2024-03-15,101.80002029200594,104.1189695357136,104.90608828476356
2024-03-22,104.12942320967808,105.11725759544586,110.81650153316956
2024-03-29,104.53068768016615,105.74221892209643,109.40992622248386
2024-04-05,103.53578256518807,104.47992079698041,105.67698229307092
2024-04-12,101.9257511523671,104.21178557432505,107.1173811068633
2024-04-19,98.8186869480624,102.982488707382,100.46325732259871
2024-04-26,101.45923395688148,104.77486954190131,102.81141608275051
2024-05-03,102.01288741318702,104.26953777612775,103.62803144501702
2024-05-10,103.90064078971713,107.41084503846714,103.60916833751519
2024-05-17,105.50390820055664,107.86048718107384,105.12220095605598
2024-05-24,105.5327546795952,107.37165604438674,104.73932865766764
2024-05-31,104.99143557984408,106.87663717179221,104.31054529015849
2024-06-07,106.37367927887782,107.98630447785824,104.84182904929393
2024-06-14,108.0569210660863,105.40808118309515,105.1958646431105
2024-06-21,108.71382502322639,106.2454881092342,104.60479350588736
2024-06-28,108.63146335204044,105.48439659262013,107.27872030076895
2024-07-05,110.75436526804346,106.55281232596995,110.88138411845594
2024-07-12,111.71246625459305,108.09562114555622,111.63566449903539
2024-07-19,109.51714972914151,105.19769816224247,108.58154852019459
2024-07-26,108.60400946164512,105.77522018026941,102.08683967605322
2024-08-02,106.36512480578362,102.6854773838253,97.32306486469783
2024-08-09,106.31737890944393,102.9618629210239,94.92533624302185
2024-08-16,110.49693531027869,105.49058432852753,103.1580798874284
2024-08-23,112.09562707271897,106.86838685724894,103.97548121250747
2024-08-30,112.36996703543736,108.29569127322978,104.74377341288357
2024-09-06,107.59577528393885,104.48198337561618,98.62876591371426
2024-09-13,111.92473655206985,106.41874471464223,99.1444930295939
2024-09-20,113.4472338216014,106.07016892519026,102.23996691367579
2024-09-27,114.15586249977613,108.92065259988036,107.9467344871267
2024-10-04,114.41249669260192,106.95707773858874,104.71089848558515
2024-10-11,115.6849248300544,107.66247963203594,107.3402964218094
2024-10-18,116.67246911934679,108.2833158014149,105.64898575564357
2024-10-25,115.54745643684308,107.008642204484,102.75493516890877
2024-11-01,113.96945456281664,105.37714250355792,103.13368793807258
2024-11-08,119.2760130585026,104.49642142606683,107.05455828618906
2024-11-15,116.79083915402224,103.77245632489735,104.73065596456333
2024-11-22,118.75478702346109,104.87593589505597,103.75752559393034
2024-11-29,120.0089125673167,105.24307489223024,103.55203697169064
2024-12-06,121.16058337527676,107.35103025802857,105.94553765547828
2024-12-13,120.38113161753145,106.52187364643275,106.97344150349801
2024-12-20,117.98906221091347,103.58063651176698,104.89053164150765
2024-12-27,118.7846282086734,104.6098632510364,109.17066830146926
2025-01-03,118.22023192569142,104.81818369325326,108.12284436147563
2025-01-10,115.92385325298756,105.50089722170652,106.21447244820908
2025-01-17,119.29829447679445,108.00074252830885,104.21178499743337
2025-01-24,121.378821909796,109.33110574840663,108.22431487079581
2025-01-31,120.17104967363686,111.28230513788333,107.25001910702694
2025-02-07,119.88178911831228,111.94645545861431,105.12122527808172
